shortTerm,longTerm,totalReturns,totalTrades,recommendedDifference
23,80,0.179587496914437,8,0.001
20,88,0.170593898522146,21,0.003
23,86,0.167511364185351,20,0.003
21,86,0.156761320425351,13,0.002
21,87,0.154641778260171,12,0.002
22,87,0.151769875022737,24,0.004
20,89,0.151060890349216,19,0.003
25,79,0.143411374309257,10,0.001
20,87,0.140625,7,0.001
24,85,0.140414373618827,15,0.002
21,88,0.138974099933217,19,0.003
24,80,0.138781130944365,10,0.001
25,78,0.138781130944365,12,0.001
26,78,0.138781130944365,17,0.002
21,81,0.136034861956714,8,0.001
23,85,0.135796266605621,17,0.002
21,73,0.134255190541852,4,0.001
22,86,0.13092852832584,14,0.002
20,90,0.128294206934024,24,0.005
22,80,0.127434268893919,10,0.001
22,81,0.126257999969885,7,0.001
20,81,0.125626136338265,9,0.001
25,85,0.124172338870595,20,0.003
20,91,0.123189317713205,15,0.003
25,84,0.122728196428559,23,0.003
21,90,0.120224264109825,24,0.005
28,83,0.118315428830748,26,0.004
24,86,0.118204846464752,20,0.003
21,89,0.117536816358423,23,0.004
26,84,0.117346298916768,27,0.004
27,83,0.117346298916768,29,0.004
20,82,0.114904448231821,10,0.001
23,87,0.11460014508483,21,0.003
26,83,0.113231065662313,29,0.004
25,86,0.112981652300648,25,0.004
22,88,0.110814408898431,24,0.004
22,89,0.110814408898431,24,0.005
24,88,0.109573082309121,25,0.005
21,85,0.109475409870118,33,0.006
24,87,0.107203710872496,27,0.005
23,88,0.106704884149166,26,0.005
28,84,0.105470663135762,24,0.004
20,183,0.104930508367498,3,0.002
20,184,0.104930508367498,3,0.002
20,185,0.104930508367498,4,0.002
20,186,0.104930508367498,4,0.003
20,187,0.104930508367498,5,0.003
20,188,0.104930508367498,6,0.004
20,189,0.104930508367498,7,0.005
20,190,0.104930508367498,7,0.005
20,191,0.104930508367498,7,0.005
21,181,0.104930508367498,2,0.001
21,182,0.104930508367498,2,0.001
21,183,0.104930508367498,2,0.001
21,184,0.104930508367498,3,0.002
21,185,0.104930508367498,4,0.002
21,186,0.104930508367498,4,0.002
21,187,0.104930508367498,4,0.003
20,86,0.104861064316074,34,0.006
22,181,0.104171909263252,3,0.003
22,182,0.104171909263252,3,0.003
22,183,0.104171909263252,3,0.003
22,184,0.104171909263252,3,0.002
22,185,0.104171909263252,3,0.002
22,186,0.104171909263252,4,0.003
22,187,0.104171909263252,5,0.004
22,188,0.104171909263252,6,0.004
23,178,0.104171909263252,2,0.001
23,179,0.104171909263252,2,0.001
23,180,0.104171909263252,2,0.001
23,181,0.104171909263252,2,0.001
23,182,0.104171909263252,3,0.002
23,183,0.104171909263252,3,0.002
23,184,0.104171909263252,3,0.003
23,185,0.104171909263252,4,0.003
29,83,0.104120665195119,29,0.005
20,192,0.103535415323254,4,0.002
20,193,0.103535415323254,5,0.003
20,194,0.103535415323254,5,0.003
20,195,0.103535415323254,5,0.003
20,196,0.103535415323254,6,0.004
20,197,0.103535415323254,6,0.004
20,198,0.103535415323254,7,0.005
20,199,0.103535415323254,7,0.005
20,179,0.102952357240872,5,0.004
20,180,0.102952357240872,5,0.004
20,181,0.102952357240872,5,0.004
20,182,0.102952357240872,6,0.004
21,194,0.102777774031582,5,0.003
22,189,0.102777774031582,2,0.001
22,190,0.102777774031582,2,0.001
22,191,0.102777774031582,3,0.001
22,192,0.102777774031582,4,0.002
22,193,0.102777774031582,4,0.002
22,194,0.102777774031582,5,0.003
22,195,0.102777774031582,5,0.003
22,196,0.102777774031582,5,0.003
22,197,0.102777774031582,7,0.004
22,198,0.102777774031582,7,0.004
21,188,0.102321483498546,10,0.007
21,189,0.102321483498546,10,0.007
22,178,0.102321483498546,4,0.004
22,179,0.102321483498546,5,0.004
22,180,0.102321483498546,5,0.004
22,85,0.102304054791529,28,0.004
21,177,0.101596639937713,8,0.007
21,178,0.101596639937713,8,0.007
21,179,0.101596639937713,8,0.007
21,180,0.101596639937713,9,0.007
20,85,0.101175034106598,38,0.007
20,176,0.100982176496661,2,0.002
20,178,0.100982176496661,3,0.003
22,73,0.100932116978227,5,0.001
23,70,0.100932116978227,6,0.001
26,79,0.100721216228236,9,0.001
20,72,0.100642351715899,5,0.001
20,73,0.100642351715899,5,0.001
27,84,0.100557257707374,26,0.004
21,175,0.100478513484201,2,0.002
21,176,0.100478513484201,2,0.002
22,173,0.100478513484201,2,0.001
22,174,0.100478513484201,2,0.002
22,175,0.100478513484201,2,0.002
22,176,0.100478513484201,2,0.002
22,177,0.100478513484201,3,0.003
23,166,0.100478513484201,2,0.001
23,167,0.100478513484201,2,0.001
24,163,0.100478513484201,2,0.001
24,164,0.100478513484201,2,0.001
24,165,0.100478513484201,2,0.001
21,171,0.100314677711379,4,0.004
21,172,0.100314677711379,4,0.004
23,163,0.100314677711379,4,0.003
20,168,0.100150965630001,2,0.002
20,169,0.100150965630001,2,0.002
20,170,0.100150965630001,2,0.001
20,171,0.100150965630001,2,0.001
20,172,0.100150965630001,2,0.001
20,173,0.100150965630001,2,0.001
20,174,0.100150965630001,3,0.002
20,175,0.100150965630001,3,0.002
20,177,0.100150965630001,4,0.003
21,163,0.100150965630001,3,0.003
21,164,0.100150965630001,2,0.002
21,165,0.100150965630001,2,0.001
21,166,0.100150965630001,2,0.001
21,167,0.100150965630001,2,0.002
21,168,0.100150965630001,2,0.002
21,169,0.100150965630001,3,0.003
21,170,0.100150965630001,3,0.003
22,160,0.100150965630001,2,0.002
22,161,0.100150965630001,2,0.001
22,162,0.100150965630001,2,0.001
22,163,0.100150965630001,2,0.001
22,164,0.100150965630001,3,0.002
22,165,0.100150965630001,3,0.003
23,157,0.100150965630001,2,0.002
23,158,0.100150965630001,2,0.002
23,159,0.100150965630001,2,0.001
23,160,0.100150965630001,2,0.001
23,161,0.100150965630001,3,0.002
23,162,0.100150965630001,3,0.003
24,157,0.100150965630001,2,0.001
24,158,0.100150965630001,2,0.001
24,159,0.100150965630001,3,0.002
25,156,0.100150965630001,2,0.001
24,84,0.099855990093871,21,0.003
23,174,0.099722970933562,2,0.002
23,175,0.099722970933562,2,0.002
23,176,0.099722970933562,3,0.002
23,177,0.099722970933562,3,0.002
24,170,0.099722970933562,2,0.001
24,171,0.099722970933562,2,0.001
24,172,0.099722970933562,2,0.001
24,173,0.099722970933562,2,0.001
24,174,0.099722970933562,3,0.002
24,175,0.099722970933562,3,0.002
24,176,0.099722970933562,3,0.003
24,177,0.099722970933562,3,0.003
25,167,0.099722970933562,2,0.001
25,168,0.099722970933562,2,0.001
25,169,0.099722970933562,2,0.001
26,165,0.099722970933562,2,0.001
26,166,0.099722970933562,2,0.001
26,167,0.099722970933562,2,0.001
27,163,0.099722970933562,2,0.001
27,164,0.099722970933562,2,0.001
28,160,0.099722970933562,2,0.001
28,161,0.099722970933562,2,0.001
28,162,0.099722970933562,2,0.001
29,159,0.099722970933562,2,0.001
29,160,0.099722970933562,2,0.001
29,161,0.099722970933562,2,0.002
23,171,0.099685312685859,5,0.004
23,172,0.099685312685859,5,0.004
23,173,0.099685312685859,5,0.004
26,163,0.099685312685859,5,0.003
28,158,0.099685312685859,4,0.003
29,157,0.099685312685859,4,0.003
29,158,0.099685312685859,5,0.004
21,173,0.099647682869082,3,0.003
21,174,0.099647682869082,3,0.003
22,167,0.099647682869082,3,0.003
22,168,0.099647682869082,3,0.002
22,169,0.099647682869082,3,0.002
22,170,0.099647682869082,3,0.002
22,171,0.099647682869082,3,0.002
22,172,0.099647682869082,3,0.002
23,164,0.099647682869082,3,0.003
23,165,0.099647682869082,3,0.002
23,168,0.099647682869082,3,0.002
23,169,0.099647682869082,3,0.002
23,170,0.099647682869082,3,0.003
24,162,0.099647682869082,3,0.002
24,166,0.099647682869082,3,0.002
24,167,0.099647682869082,4,0.003
25,160,0.099647682869082,3,0.002
25,161,0.099647682869082,3,0.001
25,162,0.099647682869082,3,0.001
25,163,0.099647682869082,3,0.002
25,164,0.099647682869082,3,0.002
26,158,0.099647682869082,2,0.002
26,159,0.099647682869082,2,0.001
26,160,0.099647682869082,2,0.001
26,161,0.099647682869082,3,0.002
27,157,0.099647682869082,2,0.001
27,158,0.099647682869082,2,0.001
27,159,0.099647682869082,3,0.002
28,155,0.099647682869082,2,0.001
28,156,0.099647682869082,2,0.001
28,157,0.099647682869082,2,0.002
29,153,0.099647682869082,2,0.001
29,154,0.099647682869082,2,0.001
29,155,0.099647682869082,2,0.002
29,156,0.099647682869082,2,0.002
22,166,0.099622666460913,5,0.004
24,161,0.099622666460913,6,0.004
25,159,0.099622666460913,6,0.004
26,157,0.099622666460913,5,0.004
27,154,0.099622666460913,4,0.003
27,155,0.099622666460913,5,0.004
28,152,0.099622666460913,4,0.003
28,153,0.099622666460913,5,0.004
28,154,0.099622666460913,5,0.004
29,151,0.099622666460913,4,0.003
29,152,0.099622666460913,4,0.004
20,166,0.099597662634338,4,0.004
20,167,0.099597662634338,3,0.003
22,159,0.099597662634338,4,0.003
24,155,0.099597662634338,3,0.003
24,156,0.099597662634338,3,0.002
24,160,0.099597662634338,4,0.003
25,153,0.099597662634338,2,0.002
25,154,0.099597662634338,3,0.002
25,155,0.099597662634338,2,0.001
25,157,0.099597662634338,3,0.002
